
============================================================
LLM Judge - CONTEXTUAL
Model: qwen2-7b + qwen2-vl
Layer: 16
Input: analysis_results/contextual_nearest_neighbors/qwen2_vl/Qwen_Qwen2-VL-7B-Instruct/contextual_neighbors_visual16_allLayers.json
Output: analysis_results/llm_judge_contextual_nn/qwen2-vl/llm_judge_qwen2vl_contextual16_gpt5_cropped
============================================================

Processing images:   0%|          | 0/100 [00:00<?, ?it/s]Processing images:   1%|          | 1/100 [00:47<1:18:20, 47.48s/it]Processing images:   2%|▏         | 2/100 [01:04<47:50, 29.30s/it]  Processing images:   3%|▎         | 3/100 [01:16<35:03, 21.69s/it]Processing images:   4%|▍         | 4/100 [01:25<26:17, 16.43s/it]Processing images:   5%|▌         | 5/100 [01:32<20:46, 13.12s/it]Processing images:   6%|▌         | 6/100 [01:51<23:41, 15.12s/it]Processing images:   7%|▋         | 7/100 [01:59<20:10, 13.02s/it]Processing images:   8%|▊         | 8/100 [02:10<18:58, 12.38s/it]Processing images:   9%|▉         | 9/100 [02:22<18:08, 11.96s/it]Processing images:  10%|█         | 10/100 [02:31<16:58, 11.32s/it]Processing images:  11%|█         | 11/100 [02:47<18:31, 12.49s/it]Processing images:  12%|█▏        | 12/100 [02:57<17:22, 11.85s/it]Processing images:  13%|█▎        | 13/100 [03:06<16:08, 11.13s/it]Processing images:  14%|█▍        | 14/100 [03:14<14:12,  9.91s/it]Processing images:  15%|█▌        | 15/100 [03:28<15:48, 11.15s/it]Processing images:  16%|█▌        | 16/100 [03:37<14:43, 10.52s/it]Processing images:  17%|█▋        | 17/100 [03:43<12:52,  9.31s/it]Processing images:  18%|█▊        | 18/100 [03:51<12:19,  9.02s/it]Processing images:  19%|█▉        | 19/100 [04:14<17:29, 12.95s/it]Processing images:  20%|██        | 20/100 [04:31<18:59, 14.24s/it]Processing images:  21%|██        | 21/100 [04:48<20:04, 15.25s/it]Processing images:  22%|██▏       | 22/100 [05:03<19:22, 14.91s/it]Processing images:  23%|██▎       | 23/100 [05:12<16:52, 13.15s/it]Processing images:  24%|██▍       | 24/100 [05:26<17:02, 13.46s/it]  Patch (11, 9): ['windows', 'windows', 'windows']... -> PASS
  Patch (2, 0): ['seductively', 'medallion', 'medians']... -> PASS
  Patch (12, 10): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (7, 10): ['ponytails', 'lengths', 'ponytails']... -> PASS
  Patch (6, 3): ['raphaelite', 'camelopardalis', 'fibromyalgia']... -> FAIL
  Patch (5, 1): ['dusky', 'falcon', 'sand']... -> PASS
  Patch (2, 11): ['camera', 'ahead', 'look']... -> PASS
  Patch (3, 13): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (13, 13): ['shouldn', 'abuilding', 'abstact']... -> FAIL
  Patch (6, 2): ['gymnasium', 'abuilding', 'gymnasium']... -> FAIL
  Patch (1, 12): ['tofc', 'dlr.co', 'www.gometro']... -> FAIL
  Patch (1, 9): ['chips', 'chips', 'fri']... -> PASS
  Patch (6, 13): ['streets', 'streets', 'streets']... -> PASS
  Patch (1, 10): ['775', '0735', '05']... -> FAIL
  Patch (6, 7): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (6, 4): ['blue/black', 'toilet.black', 'blue/black']... -> PASS
  Patch (11, 0): ['stress', 'stress', 'stress']... -> PASS
Processing images:  54%|█████▍    | 54/100 [10:33<07:13,  9.43s/it]Processing images:  55%|█████▌    | 55/100 [10:41<06:40,  8.90s/it]Processing images:  56%|█████▌    | 56/100 [10:51<06:43,  9.17s/it]Processing images:  57%|█████▋    | 57/100 [10:59<06:23,  8.93s/it]Processing images:  58%|█████▊    | 58/100 [11:07<06:02,  8.63s/it]Processing images:  59%|█████▉    | 59/100 [11:17<06:15,  9.15s/it]Processing images:  60%|██████    | 60/100 [11:27<06:16,  9.42s/it]Processing images:  61%|██████    | 61/100 [11:35<05:46,  8.89s/it]Processing images:  62%|██████▏   | 62/100 [11:44<05:35,  8.83s/it]Processing images:  63%|██████▎   | 63/100 [11:57<06:15, 10.14s/it]Processing images:  64%|██████▍   | 64/100 [12:06<05:56,  9.89s/it]Processing images:  65%|██████▌   | 65/100 [12:13<05:10,  8.88s/it]Processing images:  66%|██████▌   | 66/100 [12:29<06:16, 11.07s/it]Processing images:  67%|██████▋   | 67/100 [13:16<11:56, 21.72s/it]Processing images:  68%|██████▊   | 68/100 [13:24<09:29, 17.80s/it]Processing images:  69%|██████▉   | 69/100 [13:32<07:36, 14.73s/it]Processing images:  70%|███████   | 70/100 [13:41<06:30, 13.02s/it]Processing images:  71%|███████   | 71/100 [13:47<05:17, 10.96s/it]Processing images:  72%|███████▏  | 72/100 [14:02<05:41, 12.18s/it]Processing images:  73%|███████▎  | 73/100 [14:09<04:50, 10.75s/it]Processing images:  74%|███████▍  | 74/100 [14:18<04:23, 10.15s/it]Processing images:  75%|███████▌  | 75/100 [14:27<04:01,  9.68s/it]Processing images:  76%|███████▌  | 76/100 [14:40<04:17, 10.71s/it]Processing images:  77%|███████▋  | 77/100 [14:56<04:46, 12.45s/it]Processing images:  78%|███████▊  | 78/100 [15:03<03:55, 10.70s/it]Processing images:  79%|███████▉  | 79/100 [15:16<04:01, 11.52s/it]Processing images:  80%|████████  | 80/100 [15:23<03:18,  9.91s/it]Processing images:  81%|████████  | 81/100 [15:40<03:50, 12.15s/it]Processing images:  82%|████████▏ | 82/100 [15:50<03:24, 11.38s/it]Processing images:  83%|████████▎ | 83/100 [15:57<02:51, 10.09s/it]Processing images:  84%|████████▍ | 84/100 [16:05<02:31,  9.45s/it]Processing images:  85%|████████▌ | 85/100 [16:13<02:17,  9.19s/it]Processing images:  86%|████████▌ | 86/100 [16:22<02:07,  9.12s/it]Processing images:  87%|████████▋ | 87/100 [16:34<02:10, 10.00s/it]Processing images:  88%|████████▊ | 88/100 [16:45<02:04, 10.38s/it]Processing images:  90%|█████████ | 90/100 [16:54<01:16,  7.67s/it]Processing images:  91%|█████████ | 91/100 [17:06<01:16,  8.50s/it]Processing images:  92%|█████████▏| 92/100 [17:21<01:23, 10.42s/it]Processing images:  93%|█████████▎| 93/100 [17:28<01:05,  9.30s/it]Processing images:  94%|█████████▍| 94/100 [17:36<00:54,  9.02s/it]Processing images:  95%|█████████▌| 95/100 [17:48<00:49,  9.93s/it]Processing images:  96%|█████████▌| 96/100 [17:57<00:38,  9.62s/it]Processing images:  97%|█████████▋| 97/100 [18:16<00:37, 12.45s/it]Processing images:  98%|█████████▊| 98/100 [18:37<00:29, 14.86s/it]Processing images:  99%|█████████▉| 99/100 [18:47<00:13, 13.56s/it]  Patch (4, 11): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (0, 11): ['1970s', '107', '1']... -> FAIL
  Patch (13, 4): ['1', '25', 'abstact']... -> PASS
  Patch (8, 5): ['shouldn', '11', 'sed']... -> FAIL
  Patch (9, 11): ['racetrack', 'racetrack', 'bistro']... -> FAIL
  Patch (2, 3): ['crowds', 'people', 'people']... -> PASS
  Patch (6, 12): ['qr', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> PASS
  Patch (1, 6): ['1st', '10', '1']... -> FAIL
  Patch (10, 1): ['cavalier', 'sherperd', 'retriever']... -> FAIL
  Patch (5, 5): ['explosions', 'exploding', 'exploding']... -> PASS
  Patch (11, 6): ['shouldn', 'abuilding', 'doesn']... -> FAIL
  Patch (11, 4): ['gymnasium', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'gymnasium']... -> FAIL
  Patch (6, 8): ['piggybacked', 'piggybacked', 'piggybacked']... -> FAIL
  Patch (10, 7): ['chairs', 'chairs', 'chairs']... -> PASS
  Patch (3, 7): ['wires', 'cable', 'cable']... -> PASS
  Patch (12, 12): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (1, 3): ['landscape', 'savannah', 'savannah']... -> PASS
  Patch (0, 11): ['2008', 'according', '258']... -> FAIL
  Patch (12, 1): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'nosed']... -> PASS
  Patch (4, 2): ['slide', 'adjustment', 'foldable']... -> PASS
  Patch (5, 4): ['@', '@', '@']... -> PASS
  Patch (1, 6): ['<3', '<3', '<3']... -> PASS
  Patch (4, 3): ['brow', 'brows', 'eyebrows']... -> PASS
  Patch (1, 11): ['platter', 'tray', 'tray']... -> PASS
  Patch (6, 13): ['25', '33', '25']... -> FAIL
  Patch (5, 1): ['pointing', 'pointing', 'pointed']... -> PASS
  Patch (8, 4): ['nobody', 'nobody', 'nobody']... -> PASS
  Patch (11, 8): ['h.w', 'h.w', 'p.morgan']... -> PASS
  Patch (6, 9): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (2, 13): ['shouldn', 'shouldn', 'photographers']... -> FAIL
  Patch (6, 10): ['abstact', 'pre-printed', 'paragraph']... -> FAIL
  Patch (6, 6): ['25', '1222', '1970s']... -> FAIL
  Patch (3, 11): ['be', 'provide', 'there?']... -> FAIL
  Patch (12, 3): ['abdomen', 'abstact', 'silvertone/grey']... -> PASS
  Patch (4, 12): ['print', 'print', 'print']... -> PASS
  Patch (12, 6): ['stret', 'stret', 'stret']... -> PASS
  Patch (11, 11): ['take', 'flown', 'upstairs']... -> PASS
  Patch (1, 4): ['t-shirt', 'shirt', 't-shirt']... -> PASS
  Patch (11, 1): ['made', 'made', 'made']... -> PASS
  Patch (11, 8): ['abominable', 'abandoned', 'abandoned']... -> FAIL
  Patch (3, 1): ['yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'gymnasium', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> FAIL
  Patch (9, 10): ['thru', 'pamphlet']... -> FAIL
  Patch (13, 4): ['abdomen', 'abnormal', 'silvertone/grey']... -> PASS
  Patch (4, 6): ['marshmallows', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy']... -> PASS
  Patch (2, 13): ['gymnasium', 'yoghurt', 'gymnasium']... -> FAIL
Processing images: 100%|██████████| 100/100 [18:54<00:00, 11.56s/it]Processing images: 100%|██████████| 100/100 [18:54<00:00, 11.35s/it]
  Patch (8, 6): ['shouldn', 'hasn', 'hasn']... -> FAIL

============================================================
Results: 49/99 (49.5%)
Saved to: analysis_results/llm_judge_contextual_nn/qwen2-vl/llm_judge_qwen2vl_contextual16_gpt5_cropped/results_validation.json
Visualizations: analysis_results/llm_judge_contextual_nn/qwen2-vl/llm_judge_qwen2vl_contextual16_gpt5_cropped/visualizations
============================================================

